planta,porcentaje,potencia,tipo
Bayano,58.51%,159.68,Hidroelectricas
Estí_Barrigón,0.00%,0.00,Hidroelectricas
Estí_Chiriquí,0.00%,0.00,Hidroelectricas
La Estrella,44.02%,20.12,Hidroelectricas
Changuinola 1,3.80%,8.54,Hidroelectricas
Cochea_Cámara,30.03%,4.22,Hidroelectricas
Cochea_Presa,30.03%,4.22,Hidroelectricas
Mendre_Presa,25.32%,5.00,Hidroelectricas
Lorena,41.78%,14.71,Hidroelectricas
Prudencia,22.46%,13.54,Hidroelectricas
Gualaca,0.00%,0.00,Hidroelectricas
Las Cruces,4.83%,0.96,Hidroelectricas
San Andrés,23.60%,2.36,Hidroelectricas
Mendre II,25.38%,1.98,Hidroelectricas
Monte Lirio_Cámara,58.77%,42.41,Hidroelectricas
Monte Lirio_Presa,58.77%,42.41,Hidroelectricas
Pando,91.32%,29.93,Hidroelectricas
Bugaba 1,16.45%,0.84,Hidroelectricas
Dolega,58.42%,1.82,Hidroelectricas
Macho Monte,30.00%,0.72,Hidroelectricas
Yeguada_Flor,68.54%,4.52,Hidroelectricas
Yeguada_Laguna,68.54%,4.52,Hidroelectricas
Fortuna,88.18%,269.46,Hidroelectricas
La Potra,58.84%,16.70,Hidroelectricas
Salsipuedes,55.95%,14.30,Hidroelectricas
Barro Blanco,0.00%,0.00,Hidroelectricas
Pedregalito 1_Cámara,0.00%,0.00,Hidroelectricas
Pedregalito 1_Presa,0.00%,0.00,Hidroelectricas
Macano,31.54%,1.83,Hidroelectricas
Bajos del Totuma,38.59%,2.43,Hidroelectricas
El Alto,45.23%,31.42,Hidroelectricas
El Fraile,35.33%,2.56,Hidroelectricas
RP490_M.Monte,28.39%,4.06,Hidroelectricas
RP490_Piedra,28.39%,4.06,Hidroelectricas
La Cuchilla_Cámara,32.55%,2.59,Hidroelectricas
La Cuchilla_Presa,32.55%,2.59,Hidroelectricas
Bonyic,54.00%,17.37,Hidroelectricas
Concepción,30.15%,2.90,Hidroelectricas
Baitún,29.98%,26.67,Hidroelectricas
Bajo de Mina,48.04%,27.93,Hidroelectricas
Las Perlas Norte,31.30%,3.04,Hidroelectricas
Las Perlas Sur,30.30%,3.03,Hidroelectricas
Pedregalito 2,0.00%,0.00,Hidroelectricas
Los Planetas I_Cámara,49.77%,2.36,Hidroelectricas
Los Planetas I_Presa,49.77%,2.36,Hidroelectricas
Los Planetas II,39.22%,3.49,Hidroelectricas
San Lorenzo,11.00%,0.89,Hidroelectricas
Caoba Solar,0.00%,0.00,Solares
Cedro Solar,0.00%,0.00,Solares
Mayorca Solar,0.00%,0.00,Solares
Pesé Solar,0.00%,0.00,Solares
Coclé Solar 1,0.00%,0.00,Solares
Solar Fotovoltaica Penonomé,0.00%,0.00,Solares
Parque Solar Prudencia,0.00%,0.00,Solares
Daconan Star Solar,0.00%,0.00,Solares
Divisa Solar,0.00%,0.00,Solares
Sarigua,0.00%,0.00,Solares
Solar Bugaba,0.00%,0.00,Solares
Estrella Solar,0.00%,0.00,Solares
Milton Solar,0.00%,0.00,Solares
Sol de David,0.00%,0.00,Solares
Sol Real,0.00%,0.00,Solares
Solar Caldera,0.00%,0.00,Solares
Solar Chiriquí,0.00%,0.00,Solares
Vista Alegre,0.00%,0.00,Solares
Madre Vieja Solar,0.00%,0.00,Solares
El Fraile Solar 1,0.00%,0.00,Solares
Jagüito Solar,0.00%,0.00,Solares
Don Félix,0.00%,0.00,Solares
Panasolar,0.00%,0.00,Solares
Ecosolar 2,0.00%,0.00,Solares
Ecosolar,0.00%,0.00,Solares
La Esperanza Solar 20 MW,0.00%,0.00,Solares
Solar Pocrí,0.00%,0.00,Solares
El Espinal,0.00%,0.00,Solares
Solar Los Ángeles,0.00%,0.00,Solares
Macano Solar,0.00%,0.00,Solares
Solar Coclé,0.00%,0.00,Solares
Fotovoltaica Santiago Gen 1,0.00%,0.00,Solares
Solar Paris,0.00%,0.00,Solares
Ikako,0.00%,0.00,Solares
Ikako I,0.00%,0.00,Solares
Ikako II,0.00%,0.00,Solares
Ikako III,0.00%,0.00,Solares
Nuevo Chagres 1,8.73%,4.60,Eolicas
Marañón,0.00%,0.00,Eolicas
Nuevo Chagres 2,9.44%,5.70,Eolicas
Portobelo,14.46%,3.20,Eolicas
Rosa Vientos 1,0.00%,0.00,Eolicas
Rosa Vientos 2,9.20%,3.80,Eolicas
